ticker,rs_1m,rs_3m,rs_6m,above_50d,above_200d,range_pos_20d,move_1m_sigma,vol_20d,drawdown_1y,volume_surge,composite
FVD,-0.036649462066473126,0.008555836581983112,-0.11775862806812798,-0.030741185714070918,0.0116108036079412,0.0,-1.4385093858133184,0.004943375759330485,-0.050342795949710584,0.9600548964728611,0.4106179583475589
SEDG,0.07338686127097216,-0.42260433797193564,-0.4010335425743783,-0.09490924894091946,-0.17600334824293506,0.6986900375611594,0.22439193299593058,0.041162576294775745,-0.5582728396185866,1.0609936575128407,0.4103789689313759
FEZ,-0.0381822174373857,-0.031159168577094443,-0.04431199394056029,-0.024656806687376354,0.030274517934338663,0.0,-1.1795137627547467,0.006846408555615046,-0.054368907793421406,0.8961332917487438,0.41020826220553086
LMT,-0.07947896044068292,0.030334952132064386,-0.31321308488895117,-0.037155802388151415,-0.036851753877387594,0.24044144300955417,-0.912008286463926,0.013117632043457466,-0.2017253311156647,0.969007483797555,0.4101058381700239
MRAM,-0.11427013201467306,-0.456390737338777,0.4563707312742631,-0.05517460154958764,-0.0369889669707304,0.27914111954953796,-0.45145710409220374,0.03957901773813404,-0.652806173239616,0.6927174149842619,0.4100375554796859
JETS,-0.04691973886699918,-0.10969781325730199,-0.017587679061682904,-0.06550104906006515,-0.009375814191841414,0.18340607352867686,-0.7030735671007193,0.012454372834466125,-0.15836563254577407,1.2839832311799297,0.40983270740867195
SF,-0.07032080453901013,0.014931366358823084,-0.07279149599714052,-0.05759774905101234,-0.027716946212055893,0.04135877668176394,-1.0775043459605653,0.01325545945220119,-0.1348842333247262,0.9354861610693389,0.40935472857630595
ETSY,-0.08810517988085242,-0.038275929965355115,0.16522476744099612,-0.09905887281641879,0.12041702830654799,0.08901492163492568,-0.7554506762958596,0.029420019575268776,-0.16580490069601683,1.055071013019993,0.40928644588596796
BRUN,-0.08194763899945867,-0.5494481619775247,0.409439551579476,-0.12956697879521228,-0.04219045741611582,0.5255682218419567,-0.24381081908804345,0.07887715264044583,-0.5594387724070885,1.1838920126918915,0.40928644588596785
AMBA,-0.10356871190344408,-0.0746151927927704,0.02365005065729564,-0.08282192451283077,-0.032892597815865066,0.3083941764624192,-0.41809556975079704,0.034977342965121616,-0.3074023657592845,1.0063531500598846,0.4089450324342779
EXR,-0.05527099303876892,-0.06827311335306074,-0.1323857832589428,-0.04566424761592858,-0.01231682973129522,0.24037769771754694,-1.1115417652382653,0.010427975309581294,-0.09507739098166745,1.0890484343454017,0.4088084670536019
NVR,-0.03222954562356717,-0.07247201608053722,-0.20222983539280548,-0.027973294830173634,-0.08963785892980047,0.18002185149744948,-0.5042368043985757,0.012694753318373183,-0.24796903220013322,1.1661389601305667,0.4088084670536019
MRSH,-0.06541689297792252,0.06365700849204425,-0.12547978464898257,-0.05624947344528941,-0.007998676567567475,0.021403322755727174,-0.9257333357417367,0.012789235522924035,-0.1411276668429423,1.0126213216737416,0.4088084670536019
NOC,-0.0814392186074464,-0.004126674761235627,-0.41545057785580464,-0.02561523053522541,-0.11544718331486481,0.36983829601469703,-1.2021877537500467,0.011690316442251424,-0.3071531286588768,0.9018640181255915,0.40853533629224986
RLI,-0.06432921422651672,0.10178585887898639,-0.08999469359576096,-0.04777000949530741,0.03381267012272482,0.0,-0.8198719700157332,0.01235391298685261,-0.10602386863762447,0.7510692330088387,0.40843291225674294
MAR,-0.0469281747943785,-0.16285540741696802,-0.11319337689560705,-0.04343395648123727,-0.018522207160492687,0.3225088730260978,-0.7404341638297894,0.012839370171799156,-0.1563353864572825,0.9820563936001216,0.4080573574598839
SLYV,-0.03913783632131851,-0.02981516464642653,-0.01969164760975728,-0.035622601609684335,0.04087807922849995,0.0,-1.4229670148965483,0.006033744799577483,-0.062199280707598836,1.0313473685652823,0.40795493342437694
