ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
SBAC,0.08235855793862623,120d,-0.09749058259226197,0.02693688541324679,0.06480445534645962,0.12056086729239562,0.13881257564680338,0.7666666666666667,0.5,0.767,0.7,0.4,0.7,30,10,Real Estate,,SBA Communications Corporation,0.18
TTAN,0.08211415069689493,120d,-0.3607531629320644,-0.3342557770349792,-0.13665498522940683,0.12425106058222923,0.14505584875684094,0.42857142857142855,0.429,0.5,0.2,0.2,0.4,14,5,Technology,,"ServiceTitan, Inc.",1.04
CHKP,0.07866955525075658,120d,-0.285163116696815,-0.13090816958517162,0.1321452145926083,0.18041759774065397,0.20315395692984037,0.6,0.533,0.533,0.5,0.5,0.5,30,10,Technology,Software - Infrastructure,Check Point Software Technologies Ltd.,0.43
DG,0.07847502254013439,120d,-0.45279774380915233,-0.15580255261440054,0.1769511202641153,0.38048225833474253,0.5110975096065864,0.6,0.6,0.533,0.7,0.7,0.7,30,10,Consumer Staples,Discount Stores,Dollar General Corporation,0.12
HAS,0.0763659055024053,120d,-0.13706295328359752,0.06345229921198225,0.26275460630892367,0.29258420267456586,0.3267522479313604,0.8,0.733,0.633,0.8,0.7,0.5,30,10,Consumer Discretionary,,"Hasbro, Inc.",0.91
BMRN,0.07515275331955285,120d,-0.0844891046785285,-0.06427932550028215,0.006497414826584613,0.019904513647482913,0.04555963508859782,0.6,0.167,0.8,0.5,0.1,0.8,30,10,Biotech,Biotechnology,BioMarin Pharmaceutical Inc.,0.62
HE,0.07274683548602512,120d,-0.031553969412941724,0.02686506934298588,0.12480169013691189,0.1881855606280568,0.32090872518966607,0.8333333333333334,0.7,0.7,0.8,0.7,0.8,30,10,Utilities,,"Hawaiian Electric Industries, Inc.",0.38
B,0.07256380719415678,120d,-0.038205188376594666,0.05646714165561223,0.2433246791361623,0.3015653203486603,0.34897046377272134,0.8,0.733,0.633,0.8,0.7,0.6,30,10,Materials,Gold,Barrick Mining Corporation,0.79
SRAD,0.07208329672571767,120d,-0.4133746545501905,-0.08053483815990833,0.18115563607899432,0.3683440052444281,0.8631928110233653,0.7,0.7,0.633,0.5,0.5,0.5,30,10,Technology,,Sportradar Group AG,0.86
ZS,0.07182783480972593,120d,-0.5643956740036133,-0.28370628315535507,0.07719569858370107,0.27133899333204886,0.40186265871788174,0.5,0.5,0.5,0.5,0.5,0.5,30,10,Technology,Software—Infrastructure,"Zscaler, Inc.",1.33
WBD,0.07073164148825994,120d,-0.16533788240849426,-0.101884250749841,0.20185853929808517,0.30374217050374525,0.35468715383893834,0.6333333333333333,0.6,0.567,0.6,0.6,0.5,30,10,Communication Services,,"Warner Bros. Discovery, Inc.",1.33
CNM,0.06833958255062911,120d,-0.10389415631734181,-0.027152260807219858,0.10620914292802308,0.1466720112042228,0.19136195761250885,0.6,0.567,0.6,0.5,0.5,0.5,30,10,Industrials,Industrial Distribution,"Core & Main, Inc.",1.12
RBLX,0.06783534338637442,120d,-0.5134376642811502,-0.11515961592210036,0.24674180752729435,0.560460688036664,0.7313018785255356,0.6666666666666666,0.6,0.5,0.6,0.5,0.5,30,10,Communication Services,,Roblox Corporation,1.26
