ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
AAL,12,-0.1361386,10.0,0.0
XNCR,12,-0.105376,2.0,0.5
ELF,12,-0.0423126,5.0,0.2
BAND,12,,,
UEC,12,-0.18700300000000003,3.0,0.0
DJT,12,0.0017279999999999958,6.0,0.3333333333333333
DOCS,12,0.006590250000000006,4.0,0.5
PLPC,12,,,
ZLAB,12,-0.096716,1.0,0.0
REPL,12,-0.249453,3.0,0.0
NIQ,12,-0.09163914285714285,7.0,0.14285714285714285
CSIQ,12,-0.11723125000000001,8.0,0.125
ODFL,12,-0.25971500000000003,2.0,0.0
PVLA,12,-0.08525266666666666,3.0,0.0
ECO,12,,,
TNDM,12,-0.36149,1.0,0.0
BG,12,,,
BFAM,12,-0.0002580000000000013,2.0,0.5
NAVN,12,-0.087081,3.0,0.3333333333333333
FDX,12,-0.13116,1.0,0.0
NTAP,12,-0.055431,1.0,0.0
MCHP,12,-0.12270600000000001,2.0,0.0
SEB,12,-0.151061,2.0,0.0
ACHC,12,,,
ROKU,12,-0.0331066,5.0,0.2
APGE,12,,,
COIN,12,0.020430875,8.0,0.75
GMED,12,,,
JBHT,12,,,
JBIO,12,-0.37313,1.0,0.0
KR,12,,,
BEAM,12,-0.20585459999999997,5.0,0.0
SFM,12,-0.046805,2.0,0.5
SG,12,-0.012188250000000003,12.0,0.3333333333333333
LIF,12,-0.13869425,4.0,0.0
AMDY,12,,,
MELI,12,,,
AS,12,-0.177890375,8.0,0.0
FROG,12,-0.145722,7.0,0.14285714285714285
ARW,12,,,
SIRI,12,-0.10466000000000002,3.0,0.3333333333333333
AIS,12,-0.04558,1.0,0.0
CNX,12,-0.015190285714285715,7.0,0.5714285714285714
RHLD,11,-0.09330761538461538,13.0,0.23076923076923078
SNX,11,,,
NXT,11,-0.23868599999999998,3.0,0.0
BHVN,11,-0.165275,2.0,0.0
TIGO,11,,,
ULS,11,-0.2932335,2.0,0.0
BILL,11,0.039269125,8.0,0.75
RKT,11,-0.13341225,8.0,0.0
HRB,11,0.026912666666666668,3.0,0.6666666666666666
FN,11,-0.06548775,4.0,0.25
BKR,11,0.096745,2.0,1.0
COGT,11,-0.12166750000000001,4.0,0.25
BNO,11,,,
FTAI,11,-0.0984815,4.0,0.25
AROC,11,,,
SU,11,0.005527,1.0,1.0
HII,11,,,
FIX,11,-0.09788633333333334,3.0,0.0
NTLA,11,-0.0775795,2.0,0.0
NTRA,11,0.08868883333333333,6.0,0.8333333333333334
TKR,11,,,
NVDA,11,-0.05236883333333333,6.0,0.0
CVNA,11,-0.11341671428571429,7.0,0.0
EC,11,,,
IART,11,,,
IOT,11,0.016700200000000002,5.0,0.4
YOU,11,,,
CHWY,11,0.125363,1.0,1.0
