run_date,ticker,horizon,predicted_edge,sector,p10,p90
2026-06-02,FICO,120d,0.1373771195083239,Technology,-0.2742140777930276,0.4924952740246354
2026-06-02,TLRY,120d,0.1324863023650316,Healthcare,-0.6479447171512919,0.380392475348857
2026-06-02,AR,120d,0.1309282779938133,Energy,-0.161855529163657,0.4298382226936617
2026-06-02,CAVA,120d,0.1308133415802956,Consumer Discretionary,-0.4158984554383867,1.2458036361932645
2026-06-02,ALNY,120d,0.1306814455429251,Biotech,-0.155657854033281,0.8189716089776724
2026-06-02,SFM,120d,0.1302788008865756,Consumer Staples,-0.5154573361789427,0.8364673231709434
2026-06-02,CELH,120d,0.1250558440607968,Consumer Staples,-0.6391932808622303,0.3205347843079997
2026-06-02,HPQ,120d,0.1191602913553723,Technology,-0.3030560082666846,0.2140235208902067
2026-06-02,LLY,120d,0.117326299605392,Healthcare,-0.1021112727113177,0.4401492389361877
2026-06-02,PI,120d,0.1164694213948305,Technology,-0.4104408848007681,0.8085608623548044
2026-06-02,ONON,120d,0.1138676518715648,Consumer Discretionary,-0.1646994568133011,0.455306450904991
2026-06-02,GMED,120d,0.111219717314757,Healthcare,-0.2947408606439399,0.5899027921413028
2026-06-02,CTAS,120d,0.1112111207695242,Industrials,-0.1180224707172851,0.2606671352091865
2026-06-02,TYL,120d,0.1108978560382188,Technology,-0.210568656735434,0.3090458348085098
2026-06-02,BRO,120d,0.1092541580921184,Financials,-0.247773211965178,0.2815985403607989
2026-06-02,LNTH,120d,0.1052052575819683,Healthcare,-0.1786641460831838,0.7242725525328996
2026-06-02,LII,120d,0.1042920924330643,Industrials,-0.1479787410838092,0.2838047080590357
2026-06-02,FRPT,120d,0.1033794294746427,Consumer Staples,-0.460124293960247,0.5394758480337385
2026-06-02,FNGD,120d,0.10094415959213,Unknown,-0.5488033030645301,-0.1668076711494257
2026-06-02,NTRA,120d,0.1002181019038019,Healthcare,-0.0519603836555397,0.8202749567808588
2026-06-02,UHS,120d,0.0995700792381165,Healthcare,-0.0518743231006538,0.3160563556429491
2026-06-02,AGI,120d,0.0970012357115464,Materials,0.0975813891591441,0.5889314111504252
2026-06-02,CLH,120d,0.0960800771717214,Industrials,-0.1190208823637955,0.29482656057853
2026-06-02,CHTR,120d,0.09561560255142,Communication Services,-0.4783184924986031,0.2967591536160094
2026-06-02,LPX,120d,0.0937274112666377,Industrials,-0.1999798440261647,0.4353523342503403
2026-06-02,KBR,120d,0.0919163258751288,Industrials,-0.15769906919488,0.2002768344213794
2026-06-02,APP,120d,0.0918214119035457,Communication Services,0.1231868485781673,1.2306411640453376
2026-06-02,CHDN,120d,0.0905248221284427,Consumer Discretionary,-0.3212104520310443,0.1460986902301023
2026-06-02,BJ,120d,0.0890024250492379,Consumer Staples,-0.1415144285736984,0.3439171192371512
2026-06-02,CACI,120d,0.0870636591537422,Technology,-0.0547420769124768,0.340797601690505
2026-06-02,LTH,120d,0.0842328632383617,Consumer Discretionary,-0.0902534456237409,0.660823530360272
2026-06-02,HRB,120d,0.0820904620165268,Consumer Discretionary,-0.1973306448738982,0.3269489357201542
2026-06-02,AU,120d,0.0814904263552062,Materials,0.0657733626281974,0.8752138460433913
2026-06-02,GME,120d,0.0812748071811654,Consumer Discretionary,-0.1381978862854802,0.5418568913039574
2026-06-02,FOX,120d,0.080687715939155,Communication Services,0.0970914137484419,0.3855080316921805
2026-06-02,HUM,120d,0.0805421534673605,Healthcare,-0.2402347243776081,0.1395825915988155
2026-06-02,BFAM,120d,0.0800074367716788,Consumer Discretionary,-0.1260297360145597,0.2091627037665023
2026-06-02,OHI,120d,0.0798082869491207,Real Estate,-0.0368220348396107,0.3355380346707283
2026-06-02,ESS,120d,0.0794369852662503,Real Estate,-0.0893961155014296,0.2397473071622288
2026-06-02,PRAX,120d,0.0789844453996031,Healthcare,-0.4726334022422236,4.904162491322793
2026-06-02,CRK,120d,0.0788018743980628,Energy,-0.0892643664209374,0.5647238173710166
2026-06-02,ALHC,120d,0.0785491244406307,Healthcare,-0.0481345977633255,0.815375501308669
2026-06-02,RYAN,120d,0.078433577648086,Financials,-0.2190124602679168,0.4261838983829257
2026-06-02,PM,120d,0.077143034649972,Consumer Staples,-0.083426761236923,0.3772092611274135
2026-06-02,CORT,120d,0.076999126566316,Biotech,-0.4597802464620857,0.844554459194916
2026-06-02,MMSI,120d,0.0753107912084807,Healthcare,-0.0957771082137389,0.2378240470020699
2026-06-02,SCCO,120d,0.0749496528775548,Materials,-0.1497347740964025,0.608460591834404
2026-06-02,LNC,120d,0.0749243449837943,Financials,-0.024418052004597,0.3670527623424198
2026-06-02,HAE,120d,0.0739307028090382,Healthcare,-0.1907106642484874,0.1609551217317098
2026-06-02,ETH,20d,0.1318260173280602,Unknown,-0.0765420764238839,0.4185275709765881
2026-06-02,ETHA,20d,0.1252928923465786,Unknown,-0.0773761660800332,0.4188377635860832
2026-06-02,FETH,20d,0.1250007992881575,Unknown,-0.0775057958866912,0.4180011316149173
2026-06-02,ETHE,20d,0.1135530688253528,Unknown,-0.1030811153471286,0.4768518766971238
2026-06-02,INDV,20d,0.1105777966081109,Healthcare,-0.0727954382299726,0.4513672428608793
2026-06-02,LIF,20d,0.0989483244904316,Technology,-0.1968681325449996,0.1993152035387226
2026-06-02,VKTX,20d,0.0987732730028324,Biotech,-0.2416834892408888,0.9752423663736624
2026-06-02,PRAX,20d,0.089765569558317,Healthcare,-0.1554399728626714,0.9420870059658292
2026-06-02,TLRY,20d,0.0879699167320685,Healthcare,-0.1310352380258893,0.4921645530203026
2026-06-02,RDDT,20d,0.0869482819609986,Communication Services,-0.0241822143527176,0.6840980567723276
2026-06-02,MDGL,20d,0.0836884392860359,Biotech,-0.0593002569987077,0.2874012723097942
2026-06-02,FSLR,20d,0.0703187339302203,Energy Transition,-0.1384506812453269,0.2264892965154002
2026-06-02,ELF,20d,0.0697376498304358,Consumer Staples,-0.0636812577590665,0.2153550962782757
2026-06-02,NVDA,20d,0.0691728471342563,Technology,-0.0140171558497827,0.2966290909258016
2026-06-02,CELH,20d,0.0669032577629845,Consumer Staples,-0.2396154320640525,0.4614871280671144
2026-06-02,ANF,20d,0.0648276257096019,Consumer Discretionary,-0.0405697395365577,0.2542651565426759
2026-06-02,AMD,20d,0.0630963192854867,Semiconductors,-0.1497902309284187,0.2594141955299916
2026-06-02,IRTC,20d,0.0595048105229106,Healthcare,-0.1119185704012193,0.1956786554071453
2026-06-02,INSP,20d,0.0567444057279497,Healthcare,-0.2950815845381119,0.1374049556419911
2026-06-02,DKS,20d,0.0555956849162599,Consumer Discretionary,-0.0372505553953846,0.2168291919320468
2026-06-02,AAP,20d,0.0548650025037081,Consumer Discretionary,-0.1161120430675669,0.200645387757615
2026-06-02,PSTG,20d,0.0545708388382696,Technology,-0.0180145465272197,0.1766374627546089
2026-06-02,SKYT,20d,0.0543159771561135,Technology,-0.1319115276063277,0.6365073899216585
2026-06-02,ZIM,20d,0.0530496663483863,Industrials,-0.1173987984813476,0.4695554097156373
2026-06-02,TM,20d,0.0530392986523627,Consumer Discretionary,-0.0616717843350277,0.1498158722150289
2026-06-02,APLS,20d,0.0520739204714783,Biotech,-0.1169640946836451,0.3467312893391505
2026-06-02,RH,20d,0.0510503306783958,Consumer Discretionary,-0.1993278723992677,0.179262105581732
2026-06-02,RBRK,5d,0.0563956888302266,Technology,-0.0447377506119117,0.3551082961290329
2026-06-02,HIMS,5d,0.0509309087132401,Healthcare,-0.0531339662131027,0.1949420118261728
2026-06-02,APP,60d,0.3613328837363656,Communication Services,-0.0335585436963926,0.9525487805197786
2026-06-02,ACMR,60d,0.3084917360311626,Semiconductors,-0.2158833919522754,0.6338225036100832
2026-06-02,CELH,60d,0.3036194308297109,Consumer Staples,-0.3615483605400982,0.7373897177176866
2026-06-02,LQDA,60d,0.2321997379033391,Healthcare,-0.1711269735062485,0.8318388569402055
2026-06-02,APGE,60d,0.2297398277101666,Biotech,-0.3268234459685743,1.2543863336173988
2026-06-02,PI,60d,0.2052420692057056,Technology,-0.4973801765305352,0.6951111540044241
2026-06-02,LYFT,60d,0.1756540515952586,Technology,-0.2848001147317185,0.3711311425421866
2026-06-02,KRYS,60d,0.1740756834689295,Biotech,-0.0940632135029918,0.4870074020724935
2026-06-02,FSLR,60d,0.1677046200041064,Energy Transition,-0.3200048818062536,0.3878085551617061
2026-06-02,PSTG,60d,0.1658631175343294,Technology,-0.0722809636070101,0.6012939229699533
2026-06-02,RDDT,60d,0.1588682124767093,Communication Services,-0.0833173734816799,1.2171546094567307
2026-06-02,BZ,60d,0.1492421543501718,Communication Services,-0.2413419097835701,0.3511516727096699
2026-06-02,ZETA,60d,0.1462726177448385,Technology,-0.3137374845819908,0.531830027478109
2026-06-02,GTLS,60d,0.1393923479037568,Industrials,-0.1614760353439193,0.3172621672386129
2026-06-02,ABBV,60d,0.1355339692461414,Healthcare,-0.0646184719572538,0.2393498715192959
2026-06-02,FETH,60d,0.134872551412358,Unknown,-0.4117161124233038,0.6310529623412698
2026-06-02,ETHA,60d,0.1346004715954185,Unknown,-0.4123549872631006,0.633576223249535
2026-06-02,INDV,60d,0.134413660099178,Healthcare,-0.2187833496549095,0.5576380902259643
2026-06-02,CVE,60d,0.1342138082705863,Energy,-0.1310646179700467,0.2615460715649861
2026-06-02,OSCR,60d,0.1341269187492392,Healthcare,-0.1985607542681329,0.5523443432325856
2026-06-02,ETH,60d,0.1322562381061517,Unknown,-0.4119840674867813,0.6318402374594829
2026-06-02,OKTA,60d,0.1278037043272406,Technology,-0.07654977320723,0.3563233569575506
2026-06-02,TLRY,60d,0.1276638289746714,Healthcare,-0.438526138073938,1.4218344399221434
2026-06-02,HALO,60d,0.1266033465918109,Biotech,-0.1184051059926661,0.3057291809380352
2026-06-02,CLS,60d,0.1242454290143221,Technology,0.0381741944003541,0.7018928291120753
2026-06-02,TLN,60d,0.1237631820672978,Utilities,-0.0817913544195534,0.5664992184032056
2026-06-02,KRMN,60d,0.1237572404410101,Industrials,0.225116469601549,0.5642928198828001
2026-06-02,PRIM,60d,0.1213991360621694,Industrials,-0.1451112639549352,0.59664370976785
